Gmt time,Open,High,Low,Close,Volume
01.12.2019 00:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 01:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 02:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 03:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 04:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 05:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 06:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 07:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 08:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 09:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 10:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 11:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 12:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 13:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 14:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 15:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 16:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 17:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 18:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 19:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 20:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 21:00:00.000,1.10213,1.10213,1.10213,1.10213,0
01.12.2019 22:00:00.000,1.10247,1.10275,1.10211,1.10213,1238.48
01.12.2019 23:00:00.000,1.10216,1.10218,1.10171,1.10185,1431.71
02.12.2019 00:00:00.000,1.10183,1.10198,1.10154,1.10197,2298.75
02.12.2019 01:00:00.000,1.10199,1.10211,1.10179,1.10185,1945.14
02.12.2019 02:00:00.000,1.10186,1.10214,1.10169,1.10170,1995.23
02.12.2019 03:00:00.000,1.10169,1.10190,1.10168,1.10181,1597.77
02.12.2019 04:00:00.000,1.10180,1.10209,1.10180,1.10188,1419.08
02.12.2019 05:00:00.000,1.10187,1.10206,1.10183,1.10193,2051.3899
02.12.2019 06:00:00.000,1.10193,1.10193,1.10164,1.10169,2333.1799
02.12.2019 07:00:00.000,1.10170,1.10229,1.10162,1.10174,6691.8599
02.12.2019 08:00:00.000,1.10173,1.10213,1.10133,1.10134,8294.4004
02.12.2019 09:00:00.000,1.10134,1.10172,1.10113,1.10144,6493.71
02.12.2019 10:00:00.000,1.10146,1.10170,1.10118,1.10118,4564.54
02.12.2019 11:00:00.000,1.10119,1.10157,1.10077,1.10084,5801.1499
02.12.2019 12:00:00.000,1.10084,1.10194,1.10031,1.10191,8160.3101
02.12.2019 13:00:00.000,1.10192,1.10369,1.10192,1.10328,9559.2695
02.12.2019 14:00:00.000,1.10329,1.10465,1.10328,1.10450,10964.4102
02.12.2019 15:00:00.000,1.10451,1.10767,1.10451,1.10709,19396.75
02.12.2019 16:00:00.000,1.10708,1.10909,1.10708,1.10761,12209.6904
02.12.2019 17:00:00.000,1.10760,1.10781,1.10703,1.10752,6859.0498
02.12.2019 18:00:00.000,1.10751,1.10791,1.10703,1.10787,4684.7402
02.12.2019 19:00:00.000,1.10787,1.10826,1.10730,1.10786,4717.3301
02.12.2019 20:00:00.000,1.10785,1.10851,1.10781,1.10850,4717.1875
02.12.2019 21:00:00.000,1.10849,1.10849,1.10774,1.10792,2257.6599
02.12.2019 22:00:00.000,1.10792,1.10839,1.10763,1.10772,769.7574
02.12.2019 23:00:00.000,1.10770,1.10780,1.10750,1.10763,1861.7
03.12.2019 00:00:00.000,1.10763,1.10782,1.10726,1.10737,2317.02
03.12.2019 01:00:00.000,1.10737,1.10744,1.10716,1.10725,2207.1799
03.12.2019 02:00:00.000,1.10723,1.10734,1.10715,1.10729,1938.23
03.12.2019 03:00:00.000,1.10729,1.10768,1.10718,1.10762,1896.95
03.12.2019 04:00:00.000,1.10761,1.10783,1.10741,1.10742,1662.1
03.12.2019 05:00:00.000,1.10741,1.10754,1.10717,1.10734,1843.75
03.12.2019 06:00:00.000,1.10734,1.10788,1.10723,1.10787,2328.49
