Gmt time,Open,High,Low,Close,Volume
31.12.2019 22:00:00.000,1.12154,1.12154,1.12154,1.12154,0
01.01.2020 02:00:00.000,1.12154,1.12154,1.12154,1.12154,0
01.01.2020 06:00:00.000,1.12154,1.12154,1.12154,1.12154,0
01.01.2020 10:00:00.000,1.12154,1.12154,1.12154,1.12154,0
01.01.2020 14:00:00.000,1.12154,1.12154,1.12154,1.12154,0
01.01.2020 18:00:00.000,1.12154,1.12154,1.12154,1.12154,0
01.01.2020 22:00:00.000,1.12158,1.12247,1.12156,1.12213,6833.4101
02.01.2020 02:00:00.000,1.12212,1.12247,1.12010,1.12046,11301.2102
02.01.2020 06:00:00.000,1.12046,1.12142,1.12013,1.12032,24034.6304
02.01.2020 10:00:00.000,1.12033,1.12040,1.11832,1.11964,32155.3598
02.01.2020 14:00:00.000,1.11966,1.12032,1.11638,1.11700,189594.7881
02.01.2020 18:00:00.000,1.11701,1.11736,1.11638,1.11729,18323.715
02.01.2020 22:00:00.000,1.11728,1.11788,1.11700,1.11738,8380.939699999999
03.01.2020 02:00:00.000,1.11737,1.11777,1.11645,1.11665,13892.219699999997
03.01.2020 06:00:00.000,1.11666,1.11718,1.11402,1.11403,32248.2203
03.01.2020 10:00:00.000,1.11403,1.11490,1.11251,1.11382,37029.6807
03.01.2020 14:00:00.000,1.11382,1.11800,1.11355,1.11724,116057.586
03.01.2020 18:00:00.000,1.11723,1.11735,1.11528,1.11626,16824.475
03.01.2020 22:00:00.000,1.11626,1.11626,1.11626,1.11626,0
04.01.2020 02:00:00.000,1.11626,1.11626,1.11626,1.11626,0
04.01.2020 06:00:00.000,1.11626,1.11626,1.11626,1.11626,0
04.01.2020 10:00:00.000,1.11626,1.11626,1.11626,1.11626,0
04.01.2020 14:00:00.000,1.11626,1.11626,1.11626,1.11626,0
04.01.2020 18:00:00.000,1.11626,1.11626,1.11626,1.11626,0
04.01.2020 22:00:00.000,1.11626,1.11626,1.11626,1.11626,0
05.01.2020 02:00:00.000,1.11626,1.11626,1.11626,1.11626,0
05.01.2020 06:00:00.000,1.11626,1.11626,1.11626,1.11626,0
05.01.2020 10:00:00.000,1.11626,1.11626,1.11626,1.11626,0
05.01.2020 14:00:00.000,1.11626,1.11626,1.11626,1.11626,0
05.01.2020 18:00:00.000,1.11626,1.11626,1.11626,1.11626,0
05.01.2020 22:00:00.000,1.11687,1.11703,1.11596,1.11630,12820.5499
06.01.2020 02:00:00.000,1.11631,1.11712,1.11607,1.11626,11259.240300000001
06.01.2020 06:00:00.000,1.11626,1.11938,1.11574,1.11935,30858.360399999997
06.01.2020 10:00:00.000,1.11935,1.12058,1.11901,1.11979,32842.3203
